categoria;subcategoria;arquivo_original;arquivo_novo;largura_original;altura_original;largura_nova;altura_nova;tamanho_original_kb;tamanho_novo_kb
ADESIVOS;ADESIVO FUNDO TRANSPARENTE;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/38476494-F0BE-4AC0-93D2-FC4FA982B00B.webp;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/adesivos-fundo-transparente-01.webp;1170;2080;900;1600;220;56
ADESIVOS;ADESIVO FUNDO TRANSPARENTE;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/8CDFA355-B770-4C30-BE4E-07EB210DABE3.webp;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/adesivos-fundo-transparente-02.webp;1170;2080;900;1600;189;50
ADESIVOS;ADESIVO FUNDO TRANSPARENTE;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/A20FD710-8367-46A8-8319-E51897BC0C58.webp;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/adesivos-fundo-transparente-03.webp;1170;2080;900;1600;166;48
ADESIVOS;ADESIVO FUNDO TRANSPARENTE;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/E2266D35-4151-4F76-A449-2B5153A170A8.webp;ADESIVOS/ADESIVO FUNDO TRANSPARENTE/adesivos-fundo-transparente-04.webp;1170;2080;900;1600;163;45
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/cdfotyplhhggkhxqeiwf.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-01.webp;1187;1187;1187;1187;222;200
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_275457423_1007049099933333_7446370818653488032_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-02.webp;1080;1080;1080;1080;108;79
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_275485884_682990736454263_3521744879225929814_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-03.webp;1080;1080;1080;1080;56;33
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_309499825_202103715585965_2705861998810016178_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-04.webp;1440;1440;1440;1440;81;42
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_310285361_1482702838822384_702917075668720302_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-05.webp;1440;1440;1440;1440;155;84
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_326915630_1897674467252693_1808019098069713665_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-06.webp;1080;1080;1080;1080;121;97
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_327035157_146630694867336_5704322666150033891_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-07.webp;1080;1080;1080;1080;58;32
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_327056034_1236722076930066_3411716492523178368_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-08.webp;1080;1080;1080;1080;110;88
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_337306668_742570164140659_3823544249492371733_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-09.webp;1080;1350;1080;1350;47;22
ADESIVOS;envelopamentos;ADESIVOS/envelopamentos/mipri_grafica_409327135_3578405652423904_8743977249192797255_n.webp;ADESIVOS/envelopamentos/adesivos-envelopamento-10.webp;1440;1800;1280;1600;604;287
ADESIVOS;MICRO PERFURADO;ADESIVOS/MICRO PERFURADO/4A54215B-275C-45F1-9B9E-8CDB64A48C81-convertido-de-JPG.webp;ADESIVOS/MICRO PERFURADO/adesivos-micro-perfurado-01.webp;2160;3840;900;1600;802;178
ADESIVOS;MICRO PERFURADO;ADESIVOS/MICRO PERFURADO/r9tgu2urjdjo8k0weckq.webp;ADESIVOS/MICRO PERFURADO/adesivos-micro-perfurado-02.webp;3024;4032;1200;1600;1249;292
ADESIVOS;MICRO PERFURADO;ADESIVOS/MICRO PERFURADO/zkptaxzzkmrg2gujqvcp.webp;ADESIVOS/MICRO PERFURADO/adesivos-micro-perfurado-03.webp;3024;4032;1200;1600;1158;167
ADESIVOS;VINIL BRANCO RECORTE;ADESIVOS/VINIL BRANCO RECORTE/IMG_6120.webp;ADESIVOS/VINIL BRANCO RECORTE/adesivos-vinil-branco-recorte-01.webp;3024;4032;1200;1600;413;97
ADESIVOS;VINIL BRANCO RECORTE;ADESIVOS/VINIL BRANCO RECORTE/Untitled design - 5.JPG;ADESIVOS/VINIL BRANCO RECORTE/adesivos-vinil-branco-recorte-02.webp;1024;1024;1024;1024;1037;59
ADESIVOS;VINIL BRANCO RECORTE;ADESIVOS/VINIL BRANCO RECORTE/Untitled design.JPG;ADESIVOS/VINIL BRANCO RECORTE/adesivos-vinil-branco-recorte-03.webp;1024;1024;1024;1024;999;70
AGENDAS;;AGENDAS/crwzrvuomnrgel6d6k3w.webp;AGENDAS/agendas-01.webp;3024;4032;1200;1600;1407;101
AGENDAS;;AGENDAS/hepcco3mslvfr5uabf8k.webp;AGENDAS/agendas-02.webp;3024;4032;1200;1600;1959;72
AGENDAS;;AGENDAS/iamhdxfm9pp7agjnbd0j.webp;AGENDAS/agendas-03.webp;3024;4032;1200;1600;1657;72
AGENDAS;;AGENDAS/jlxdx6dozctlhkn2mjip.webp;AGENDAS/agendas-04.webp;1170;2080;900;1600;149;77
AGENDAS;;AGENDAS/k5j464b0clukvtj8upib.webp;AGENDAS/agendas-05.webp;1170;2080;900;1600;140;93
AGENDAS;;AGENDAS/uas20vg164p51jldrfo3.webp;AGENDAS/agendas-06.webp;3024;4032;1200;1600;2050;92
AGENDAS;;AGENDAS/ufmf2ijb6cxeyisthq7n.webp;AGENDAS/agendas-07.webp;3024;4032;1200;1600;2126;118
AGENDAS;;AGENDAS/xd4rxwhdjxwozbvscujq.webp;AGENDAS/agendas-08.webp;3024;4032;1200;1600;1900;69
blocos;;blocos/WhatsApp Image 2026-04-22 at 14.05.01 (1).jpeg;blocos/blocos-01.webp;1170;2080;900;1600;157;67
blocos;;blocos/WhatsApp Image 2026-04-22 at 14.05.01.jpeg;blocos/blocos-02.webp;1170;2080;900;1600;135;58
CARDÁPIO;;CARDÁPIO/xuoawdjwf0g88zxa4zuu.webp;CARDÁPIO/cardapio-01.webp;3024;4032;1200;1600;1545;366
CARTÕES;CARTÃO CRIATIVO;CARTÕES/CARTÃO CRIATIVO/3bb7285f-9515-4ea5-9d9b-8cb93cd71c70.jpg;CARTÕES/CARTÃO CRIATIVO/cartoes-criativo-01.webp;960;1280;960;1280;79;58
CARTÕES;CARTÃO CRIATIVO;CARTÕES/CARTÃO CRIATIVO/be233cce-c29c-4dfc-b10c-70e5cb5b41eb.jpg;CARTÕES/CARTÃO CRIATIVO/cartoes-criativo-02.webp;960;1280;960;1280;80;61
CARTÕES;CARTÃO DE PVC;CARTÕES/CARTÃO DE PVC/WhatsApp Image 2026-04-22 at 14.05.01 (7).jpeg;CARTÕES/CARTÃO DE PVC/cartoes-pvc-01.webp;3024;4032;1200;1600;930;71
CARTÕES;CARTÃO DE PVC;CARTÕES/CARTÃO DE PVC/WhatsApp Image 2026-04-22 at 14.05.01 (8).jpeg;CARTÕES/CARTÃO DE PVC/cartoes-pvc-02.webp;3024;4032;1200;1600;785;29
CARTÕES;CARTÃO DE VISITA BRILHANTE;CARTÕES/CARTÃO DE VISITA BRILHANTE/WhatsApp Image 2026-04-22 at 14.05.01 (28).jpeg;CARTÕES/CARTÃO DE VISITA BRILHANTE/cartoes-visita-brilhante-01.webp;3024;4032;1200;1600;899;72
CARTÕES;CARTÃO DE VISITA VERNIZ LOCALIZADO;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/WhatsApp Image 2026-04-22 at 14.05.01 (20).jpeg;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/cartoes-visita-verniz-localizado-01.webp;3024;4032;1200;1600;1078;96
CARTÕES;CARTÃO DE VISITA VERNIZ LOCALIZADO;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/WhatsApp Image 2026-04-22 at 14.05.01 (21).jpeg;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/cartoes-visita-verniz-localizado-02.webp;3024;4032;1200;1600;901;61
CARTÕES;CARTÃO DE VISITA VERNIZ LOCALIZADO;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/WhatsApp Image 2026-04-22 at 14.05.01 (22).jpeg;CARTÕES/CARTÃO DE VISITA VERNIZ LOCALIZADO/cartoes-visita-verniz-localizado-03.webp;3024;4032;1200;1600;985;62
CARTÕES;CARTÃO FIDELIDADE;CARTÕES/CARTÃO FIDELIDADE/WhatsApp Image 2026-04-22 at 14.05.01 (11).jpeg;CARTÕES/CARTÃO FIDELIDADE/cartoes-fidelidade-01.webp;3024;4032;1200;1600;1122;142
CARTÕES;CARTÃO FIDELIDADE;CARTÕES/CARTÃO FIDELIDADE/WhatsApp Image 2026-04-22 at 14.05.01 (12).jpeg;CARTÕES/CARTÃO FIDELIDADE/cartoes-fidelidade-02.webp;3024;4032;1200;1600;968;75
CARTÕES;CARTÃO FIDELIDADE;CARTÕES/CARTÃO FIDELIDADE/WhatsApp Image 2026-04-22 at 14.05.01 (13).jpeg;CARTÕES/CARTÃO FIDELIDADE/cartoes-fidelidade-03.webp;3024;4032;1200;1600;898;55
CHAVEIRO;;CHAVEIRO/bknzfkbtwatejzzjlv9s.webp;CHAVEIRO/chaveiro-01.webp;1170;1374;1170;1374;84;64
CHAVEIRO;;CHAVEIRO/wp11i2rmc2pogahnxe5k.webp;CHAVEIRO/chaveiro-02.webp;1170;2080;900;1600;106;51
ECO BAGS;;ECO BAGS/fvnc2yx0f6mz6onc4rvn.webp;ECO BAGS/eco-bags-01.webp;3024;4032;1200;1600;665;81
ECO BAGS;;ECO BAGS/i9vnx4gtggkbxsl2ksoc.webp;ECO BAGS/eco-bags-02.webp;3024;4032;1200;1600;926;261
ETIQUETA;;ETIQUETA/eqrmgfzh1npbxxlhenq8.webp;ETIQUETA/etiqueta-01.webp;3024;4032;1200;1600;1008;97
ETIQUETA;;ETIQUETA/ooaghrcsywh6aan4fua9.webp;ETIQUETA/etiqueta-02.webp;3024;4032;1200;1600;920;73
ETIQUETA;;ETIQUETA/WhatsApp Image 2026-04-22 at 14.05.01 (14).jpeg;ETIQUETA/etiqueta-03.webp;3024;4032;1200;1600;847;60
ETIQUETA;;ETIQUETA/WhatsApp Image 2026-04-22 at 14.05.01 (5).jpeg;ETIQUETA/etiqueta-04.webp;3024;4032;1200;1600;764;38
ETIQUETA;;ETIQUETA/WhatsApp Image 2026-04-22 at 14.05.01 (6).jpeg;ETIQUETA/etiqueta-05.webp;3024;4032;1200;1600;847;67
FOLDER E PANFLETOS;;FOLDER E PANFLETOS/a7i03we9qkyjevfiyokk.webp;FOLDER E PANFLETOS/folder-panfletos-01.webp;1170;2080;900;1600;156;125
FOLDER E PANFLETOS;;FOLDER E PANFLETOS/loppuiwd001kbjo91rde.webp;FOLDER E PANFLETOS/folder-panfletos-02.webp;1170;2080;900;1600;130;117
FOLDER E PANFLETOS;;FOLDER E PANFLETOS/pcsgwt5y3ktzizvyq76u.webp;FOLDER E PANFLETOS/folder-panfletos-03.webp;1170;2080;900;1600;134;82
OBRAS E ENGENHARIA;BRINDE CORPORATIVO;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/jqmsp4yvzap5knpbrnna.webp;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/obras-engenharia-brinde-corporativo-01.webp;3024;4032;1200;1600;1016;59
OBRAS E ENGENHARIA;BRINDE CORPORATIVO;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/yn5dsafxglh1xpqhgh2c.webp;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/obras-engenharia-brinde-corporativo-02.webp;3024;4032;1200;1600;708;104
OBRAS E ENGENHARIA;BRINDE CORPORATIVO;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/zqyvlrf66y4ob4mqiqc5.webp;OBRAS E ENGENHARIA/BRINDE CORPORATIVO/obras-engenharia-brinde-corporativo-03.webp;3024;4032;1200;1600;912;54
